"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:LS(9.0.0)","BLZ.U.PT.A","OBS_VALUE","Belize","7","6.596","9.346","9.053","29.58","10.157","","","",""
"IMF.STA:LS(9.0.0)","MEX.U.PT.A","OBS_VALUE","Mexico","3.85375","3.41925","3.2735","3.47675","4.354333333333332","3.954416666666665","3.174","2.714583333333332","2.59325","2.446"
"IMF.STA:LS(9.0.0)","VEN.U.PT.A","OBS_VALUE","Venezuela, República Bolivariana de","5.319","5.045","","","7.53","","","","",""
"IMF.STA:LS(9.0.0)","ISL.U.PT.A","OBS_VALUE","Iceland","3.441666666666668","3.283333333333332","3.133333333333332","3.9","6.249999999999998","5.85","3.575","3.366666666666668","3.358333333333332",""
"IMF.STA:LS(9.0.0)","TJK.U.PT.A","OBS_VALUE","Tajikistan, Republic of","0.081","","","","","","","","",""
"IMF.STA:LS(9.0.0)","BEL.U.PT.A","OBS_VALUE","Belgium","7.85","7.1","5.958333333333332","5.366666666666668","5.541666666666668","6.275","5.575","5.525","5.7",""
"IMF.STA:LS(9.0.0)","LVA.U.PT.A","OBS_VALUE","Latvia, Republic of","9.633333333333332","8.708333333333332","7.4","6.316666666666668","8.091666666666668","7.575","6.858333333333335","6.508333333333332","6.933333333333335",""
"IMF.STA:LS(9.0.0)","TON.U.PT.A","OBS_VALUE","Tonga","1.054","","2.248","","","2.111","","1.652","",""
"IMF.STA:LS(9.0.0)","CZE.U.PT.A","OBS_VALUE","Czech Republic","3.966666666666668","2.908333333333332","2.266666666666667","2.016666666666666","2.55","2.808333333333332","2.4","2.633333333333332","2.775",""
"IMF.STA:LS(9.0.0)","ZWE.U.PT.A","OBS_VALUE","Zimbabwe","","","","7.373","","9.459","10.05275","9.354","12.13",""
"IMF.STA:LS(9.0.0)","SWZ.U.PT.A","OBS_VALUE","Eswatini, Kingdom of","22.718","","","","","34.153","","34.61","",""
"IMF.STA:LS(9.0.0)","STP.U.PT.A","OBS_VALUE","São Tomé and Príncipe, Democratic Republic of","","8.808","","","","","","","",""
"IMF.STA:LS(9.0.0)","PRY.U.PT.A","OBS_VALUE","Paraguay","5.998439437121114","5.200670749018458","5.674142184158245","5.64792911526175","6.933933582568496","6.73608750978083","6.665855378136136","5.861343855004854","5.7282094828984",""
"IMF.STA:LS(9.0.0)","BRN.U.PT.A","OBS_VALUE","Brunei Darussalam","","9.316","8.7","6.6","7.409","4.905","5.191","5.296","4.871",""
"IMF.STA:LS(9.0.0)","LCA.U.PT.A","OBS_VALUE","St. Lucia","","18.94475","19.101","15.36475","20.405","19.58","15.75325","12.01175","10.071",""
"IMF.STA:LS(9.0.0)","NGA.U.PT.A","OBS_VALUE","Nigeria","7.05575","8.3695","","10.695","","","3.827","3.074","3.45625",""
