"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","CHE.NID_NGDP.A","OBS_VALUE","Switzerland","Gross capital formation, Percent of GDP","Annual","Units","25.586","25.995","25.658","26.390","29.636","26.412","24.826","25.933","26.886","25.658"
"IMF.RES:WEO(9.0.0)","FIN.GGXWDG_NGDP.A","OBS_VALUE","Finland","Gross debt, General government, Percent of GDP","Annual","Units","68.649","66.581","65.278","65.328","75.314","73.200","74.031","77.522","82.149","86.784"
"IMF.RES:WEO(9.0.0)","G163.NID_NGDP.A","OBS_VALUE","Euro Area (EA)","Gross capital formation, Percent of GDP","Annual","Units","20.394","20.992","21.609","22.383","22.013","22.779","23.878","22.372","21.312","21.526"
"IMF.RES:WEO(9.0.0)","G163.GGXWDG_NGDP.A","OBS_VALUE","Euro Area (EA)","Gross debt, General government, Percent of GDP","Annual","Units","89.928","87.476","85.539","83.590","96.517","93.831","89.320","87.117","87.216","87.833"
"IMF.RES:WEO(9.0.0)","JPN.NGDPDPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","39411.424","38903.298","39850.331","40547.967","40159.866","40155.188","34088.755","33776.442","32443.024","34713.248"
"IMF.RES:WEO(9.0.0)","AND.GGXWDG_NGDP.A","OBS_VALUE","Andorra, Principality of","Gross debt, General government, Percent of GDP","Annual","Units","39.773","37.854","36.344","35.365","46.353","48.614","38.907","35.467","33.234","31.725"
"IMF.RES:WEO(9.0.0)","AND.NGDPDPC.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","39595.317","40017.741","42229.903","40688.491","36973.845","41806.876","41378.881","44483.604","46359.174","49450.638"
"IMF.RES:WEO(9.0.0)","ISL.NGDPDPC.A","OBS_VALUE","Iceland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","64666.825","75367.097","77963.129","71496.364","62237.431","73220.805","79925.315","84425.320","86663.851","98149.915"
"IMF.RES:WEO(9.0.0)","IRL.NGDPDPC.A","OBS_VALUE","Ireland","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","63870.733","71831.436","80475.227","81525.884","86217.597","103625.416","104721.031","106502.051","112356.379","129131.780"
"IMF.RES:WEO(9.0.0)","ISL.GGXWDG_NGDP.A","OBS_VALUE","Iceland","Gross debt, General government, Percent of GDP","Annual","Units","81.335","70.792","62.259","65.718","76.088","73.589","66.447","61.550","59.446","47.422"
"IMF.RES:WEO(9.0.0)","GRC.GGXWDG_NGDP.A","OBS_VALUE","Greece","Gross debt, General government, Percent of GDP","Annual","Units","183.675","182.623","189.553","183.691","209.927","197.806","178.441","165.159","154.792","146.691"
"IMF.RES:WEO(9.0.0)","IRL.NID_NGDP.A","OBS_VALUE","Ireland","Gross capital formation, Percent of GDP","Annual","Units","35.630","34.035","28.174","53.702","42.591","23.032","22.884","26.658","18.248","21.027"
"IMF.RES:WEO(9.0.0)","ISL.NID_NGDP.A","OBS_VALUE","Iceland","Gross capital formation, Percent of GDP","Annual","Units","20.816","21.575","22.195","20.203","21.046","22.820","24.251","25.151","26.112","27.491"
"IMF.RES:WEO(9.0.0)","GRC.NGDPDPC.A","OBS_VALUE","Greece","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","17901.380","18602.048","19867.086","19332.053","17839.122","20456.642","20942.384","23388.611","24716.307","27169.693"
"IMF.RES:WEO(9.0.0)","IRL.GGXWDG_NGDP.A","OBS_VALUE","Ireland","Gross debt, General government, Percent of GDP","Annual","Units","72.710","65.266","61.421","55.912","57.078","52.653","43.166","42.064","38.767","32.996"
"IMF.RES:WEO(9.0.0)","GRC.NID_NGDP.A","OBS_VALUE","Greece","Gross capital formation, Percent of GDP","Annual","Units","12.466","11.886","12.927","12.072","13.530","17.459","19.954","16.657","18.119","17.886"
"IMF.RES:WEO(9.0.0)","NZL.GGXWDG_NGDP.A","OBS_VALUE","New Zealand","Gross debt, General government, Percent of GDP","Annual","Units","33.341","31.098","28.080","31.814","43.242","47.521","46.882","46.918","50.243","53.235"
"IMF.RES:WEO(9.0.0)","PRT.GGXWDG_NGDP.A","OBS_VALUE","Portugal","Gross debt, General government, Percent of GDP","Annual","Units","131.180","126.029","121.112","116.110","134.096","123.878","111.232","97.733","94.930","90.945"
"IMF.RES:WEO(9.0.0)","MLT.NGDPDPC.A","OBS_VALUE","Malta","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","26738.152","30816.538","34035.110","33145.433","31837.431","38271.621","36417.102","41725.126","45166.804","49277.470"
"IMF.RES:WEO(9.0.0)","PRT.NID_NGDP.A","OBS_VALUE","Portugal","Gross capital formation, Percent of GDP","Annual","Units","16.028","17.446","18.525","18.768","19.419","20.935","21.374","20.478","20.142","19.547"
"IMF.RES:WEO(9.0.0)","MLT.GGXWDG_NGDP.A","OBS_VALUE","Malta","Gross debt, General government, Percent of GDP","Annual","Units","53.149","45.558","41.443","39.249","48.611","49.562","50.125","46.818","46.173","46.886"
"IMF.RES:WEO(9.0.0)","ESP.GGXWDG_NGDP.A","OBS_VALUE","Spain","Gross debt, General government, Percent of GDP","Annual","Units","101.967","101.144","99.718","97.579","119.179","115.594","109.226","105.074","101.648","100.403"
"IMF.RES:WEO(9.0.0)","ESP.NGDPDPC.A","OBS_VALUE","Spain","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","26725.642","28326.416","30526.940","29664.183","27188.392","30792.106","30154.509","33312.918","35151.242","38039.876"
"IMF.RES:WEO(9.0.0)","MLT.NID_NGDP.A","OBS_VALUE","Malta","Gross capital formation, Percent of GDP","Annual","Units","21.940","19.159","19.653","20.969","20.117","23.068","26.377","19.839","18.971","19.121"
